# roll pitch yaw tx ty tz
-0.228109 -0.765789 0.229231 -0.036366 -0.102576 0.378567
-0.229431 -0.771285 0.231050 -0.036046 -0.102308 0.375367
-0.231498 -0.775545 0.232855 -0.035903 -0.101928 0.372650
-0.231795 -0.779140 0.234089 -0.036138 -0.101428 0.369739
-0.233164 -0.783125 0.235826 -0.036608 -0.101027 0.367571
-0.235452 -0.786474 0.238481 -0.037261 -0.100653 0.364985
-0.236801 -0.791871 0.239762 -0.037815 -0.100347 0.362740
-0.236652 -0.796088 0.240916 -0.038217 -0.100021 0.360484
-0.239925 -0.799511 0.243986 -0.038577 -0.099845 0.358477
-0.241464 -0.803662 0.245685 -0.038985 -0.099763 0.356179
-0.241774 -0.806985 0.246620 -0.039070 -0.099500 0.353962
-0.246390 -0.812994 0.251537 -0.038974 -0.099012 0.350200
-0.245287 -0.815005 0.252418 -0.038548 -0.098774 0.348206
-0.247711 -0.819226 0.254141 -0.038031 -0.098745 0.345864
-0.248459 -0.821387 0.255439 -0.037634 -0.098921 0.344224
-0.252106 -0.823539 0.258628 -0.037093 -0.099242 0.342514
-0.254336 -0.825316 0.260846 -0.036425 -0.099686 0.340366
-0.254490 -0.827794 0.261953 -0.035634 -0.100226 0.338666
-0.252938 -0.828588 0.262174 -0.034553 -0.100546 0.336892
-0.256686 -0.831876 0.265337 -0.033122 -0.100986 0.334471
-0.258652 -0.831704 0.267253 -0.031790 -0.101488 0.333260
-0.260920 -0.835488 0.271885 -0.027677 -0.102481 0.328505
-0.264959 -0.835607 0.275494 -0.026437 -0.102726 0.327127
-0.266573 -0.837216 0.277516 -0.025315 -0.102890 0.325586
-0.268946 -0.836452 0.279464 -0.024338 -0.102878 0.324467
-0.269294 -0.838514 0.281530 -0.023286 -0.102714 0.323083
-0.270312 -0.836695 0.282560 -0.022430 -0.102415 0.321986
-0.272040 -0.836298 0.284807 -0.021444 -0.102012 0.321035
-0.274406 -0.835514 0.287401 -0.020526 -0.101564 0.320077
-0.275514 -0.834801 0.288984 -0.019664 -0.101012 0.319086
-0.279693 -0.832483 0.292440 -0.018972 -0.100432 0.318405
-0.278764 -0.832476 0.293003 -0.018341 -0.099694 0.317754
-0.279402 -0.831060 0.295187 -0.017701 -0.099001 0.317432
